"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2021-390428";"Pilot for programfinansiering i Innlandet";"Statsforvalterens fellestjenester ";"Kunngjøring av konkurranse";"2021-03-28";"2021-05-03";"/Notice/Details/2021-390428";"73000000";"Det søkes etter bistand til et tverrfaglig arbeid med utsatte barn og unge i aldersgruppa 0-24 år og deres familier. Oppdragsgiver ønsker tilbud fra leverandører som kan sikre kommunene kompetanseoverføring ved å tilby veiledning og opplæring i egenevaluering underveis i prosess- og tiltaksutviklingen, samt bistå med en sluttevaluering av de fire pilotprosjektene. Sluttevalueringen inkluderer en presentasjon av resultatene av de fire pilotprosjektene.
Oppdragsgiver ønsker også tilbud fra leverandører som kan gi kommunene kompetanseoverføring ved å tilby veiledning og faglig bistand med tiltaksutviklingen og implementerings- og prosess-støtte underveis i gjennomføringen av tiltakene.
";"2000000";"13";"2021";"36"
"2021-313603";"Pilot for programfinansiering i Trøndelag";"Statsforvalterens fellestjenester ";"Kunngjøring av konkurranse";"2021-03-27";"2021-05-03";"/Notice/Details/2021-313603";"73000000";"Det søkes etter bistand til et tverrfaglig arbeid med utsatte barn og unge i aldersgruppa 0-24 år og deres familier. Oppdragsgiver ønsker tilbud fra leverandører som kan sikre kommunene kompetanseoverføring ved å tilby veiledning og opplæring i egenevaluering underveis i prosess- og tiltaksutviklingen, samt bistå med en sluttevaluering av de fire pilotprosjektene. Sluttevalueringen inkluderer en presentasjon av resultatene av de fire pilotprosjektene.";"1300000";"13";"2021";"37"
"2021-348558";"Betydning og ivaretakelse av fysiske omgivelser ved utforming av formålsbygg ( institusjonsbygg ) på barnevernsområdet";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-03-26";"2021-05-18";"/Notice/Details/2021-348558";"73000000";"Det overordnet formålet med oppdraget er å få ny kunnskap om samvirkning mellom institusjonsbygg på barnevernsomdådet, beboere og ansatte. Kunnskapen skal brukes til å videreutvikle Bufdirs eiendomsportefølje.";NA;"13";"2021";"53"
"2021-304546";"Utredning av modeller for organisering og innretning av teknologioverføringskontorene";"Kunnskapsdepartementet ";"Kunngjøring av konkurranse";"2021-03-26";"2021-04-23";"/Notice/Details/2021-304546";"73200000";"Kunnskapsdepartementet vil se nærmere på de ulike elementene i dagens system for kommersialisering av offentlig finansiert forskning, og ønsker i den forbindelse en vurdering av alternative modeller for organiseringen av kommersialiseringsaktivitetene ved institusjoner som mottar offentlig finansiering til forskning, nærmere bestemt teknologioverførings-kontorene eller Technology Transfer Offices (TTOene).";"700000";"13";"2021";"28"
"2021-353699";"Kunnskapsoppsummering - Konsekvenser av rasisme og diskriminering";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-03-26";"2021-04-30";"/Notice/Details/2021-353699";"73000000";"Som en del av oppfølgingen av Regjeringens handlingsplan mot rasisme og diskriminering på grunn av etnisitet og religion (2020-2023) ønsker Barne- ungdoms- og familiedirektoratet (Bufdir) å få utarbeidet en kunnskapsoppsummering som gir oversikt over forskning om konsekvenser av rasisme og diskriminering på grunn av etnisitet, religion og livssyn.";"800000";"13";"2021";"35"
"2021-375056";"Rådgivningstjenester utredningsprosjekt innenfor Helse og velferd";"Malvik kommune ";"Kunngjøring av konkurranse";"2021-03-26";"2021-04-19";"/Notice/Details/2021-375056";"79410000";"De kommunale helse- og velferdstjenestene er i endring, med flere og mer krevende oppgaver, som stiller nye krav til kompetanse og arbeidsformer. Dette stiller krav til god ressursutnyttelse for å sikre at kommunen klarer å yte gode tjenester til innbyggerne også i fremtiden. Samtidig er kommunen presset på ressurser, og konkurransen om den rette kompetansen er tøff.
På bakgrunn av dette jobber kommunen med et prosjekt som skal hjelpe oss å utvikle kommunen som lokalsamfunn og helse- og velferdstjenestene til fremtidens brukere og behov.
";NA;"13";"2021";"24"
"2021-355374";"Sensorbaserte løsninger for tilstandsovervåking og skadeidentifikasjon av materialer";"Petroleumstilsynet ";"Kunngjøring av konkurranse";"2021-03-26";"2021-04-26";"/Notice/Details/2021-355374";"73110000";"Formålet med denne studien er kunnskapsinnhenting om historisk utvikling og mulighetsrommet for bruk av sensorbaserte løsninger for tilstandsovervåking og skadeidentifikasjon innen nedbrytning av materialer. Studien skal avgrenses til korrosjon, fuktinntrenging og utmatting på rør og utstyr installert på offshore installasjoner og landanlegg.
Rapporten skal kartlegge tilgjengelige metoder og teknologi for innsamling, lagring, behandling og effektiv bruk av data og mulig betydning for sikkerheten. Inkludert styrker og svakheter med metodene og teknologiens formål, hvordan de kan bidra til bedre sikkerhet og i hvilken grad de er testet i faktisk bruk.
";"300000";"13";"2021";"31"
"2021-312437";"Kunnskapsgrunnlag: Lokale møteplasser - modeller og erfaringer fra områdesatsingene i Oslo";"Oslo kommune v/ Bydel Alna ";"Kunngjøring av konkurranse";"2021-03-26";"2021-04-19";"/Notice/Details/2021-312437";"73000000";"Oslo kommune og staten samarbeider om områdesatsinger i bydeler i Oslo med særlige utfordringer og behov. Områdesatsingene er organisert i tre delprogram; oppvekst og utdanning, sysselsetting og nærmiljø.
Virksomheten i delprogram nærmiljø gjennomføres i hovedsak som områdeløft i utvalgte delbydeler. For tiden pågår områdeløft i bydelene Gamle Oslo, Søndre Nordstrand, Alna, Bjerke, Grorud og Stovner.
Det er mange møteplasser i porteføljen til Delprogram nærmiljø og programstyret for delprogrammet har derfor vedtatt å utarbeide kunnskapsgrunnlag i form av en rapport e.l. der erfaringer med ulike former for innendørs møteplasser blir systematisert og formidlet til områdesatsingene, Oslo kommune for øvrig og nasjonalt.
Kunnskapsgrunnlaget bør kunne brukes til inspirasjon for møteplasser i planleggingsfasen, og som en metodehåndbok som kan bidra til bedre prosjekter og prosesser.
";"700000";"13";"2021";"24"
"2021-317594";"Evaluering av heving av nasjonal terskelverdi";"Nærings- og fiskeridepartementet ";"Kunngjøring av konkurranse";"2021-03-25";"2021-04-19";"/Notice/Details/2021-317594";"73000000";"Det skal gjennomføres en evaluering av hevingen av nasjonal terskelverdi i anskaffelsesforskriften. Evalueringen skal inneholde en samfunnsøkonomisk analyse av hevingen av nasjonal terskelverdi i anskaffelsesforskriften og vurdere om terskelverdien bør beholdes som den er, senkes eller heves for andre offentlige oppdragsgivere enn statlige. Dersom det foreslås å senke eller heve terskelverdien skal oppdragstaker komme med en konkret anbefaling til ny terskelverdi.";"1200000";"12";"2021";"25"
"2021-397533";"Røyrvik kommune: Programledelse for omstillingsarbeidet";"Røyrvik kommune ";"Kunngjøring av konkurranse";"2021-03-25";"2021-04-25";"/Notice/Details/2021-397533";"73220000";"Omstillingsprogrammet i Røyrvik er etablert for å gjennomføre en ekstraordinær innsats innenfor næringsutvikling for perioden 2021 til 2025. Programmet er initiert og eies av kommunen med eget styre som rapporterer til kommunestyret i Røyrvik. Anskaffelse gjelder programledelse for gjennomføring av arbeidet i hele omstillingsperioden. Varigheten av omstillingsprogrammet er betinget av årlige bevilgninger fra Trøndelag fylkeskommune.
Målet for omstillingsarbeidet er å bidra å til å skape og sikre 30 arbeidsplasser samt styrke robustheten og utviklingsevnen i næringslivet og kommunen.
";NA;"12";"2021";"31"
"2021-338286";"Prosjekt nytt regjeringskvartal Konkurranse om innovasjonspartnerskap: Staut - kjøretøysperre til å stole på";"STATSBYGG ";"Kunngjøring av konkurranse";"2021-03-25";"2021-04-23";"/Notice/Details/2021-338286";"35000000";"Prosjekt nytt regjeringskvartal
Konkurranse om innovasjonspartnerskap for anskaffelse av
Staut - kjøretøysperre til å stole på
";NA;"12";"2021";"29"
"2021-383854";"Følgeevalueringsoppdrag-innføring av porteføljestyring i Norges forskningsråd.";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2021-03-25";"2021-04-22";"/Notice/Details/2021-383854";"73000000";"Forskningsrådet, ved Område for analyse og porteføljestyring, Avdeling for strategi og evaluering, innbyr til konkurranse om å følgeevaluere innføring av porteføljestyring i Norges forskningsråd.
Formålet med anskaffelsen er å gi Forskningsrådet svar på hvordan porteføljestyring bidrar til Forskningsrådets måloppnåelse, på overordnet nivå, ved implementeringen av porteføljestyring og i daglig drift.
Videre er det et mål at følgeevalueringen skal gi Forskningsrådet et grunnlag for videreutvikling av porteføljestyring gjennom å analysere arbeidsprosesser og organisering og komme med forslag til forbedringer.
Anslått verdi over hele kontraktens løpetid (inkl. mva.) er kr 1 800 000.
Vedlegg 1 - Oppdragsbeskrivelse - Følgeevaluering av porteføljestyring 
";"1800000";"12";"2021";"28"
"2021-342389";"Rammeavtale for tjenestedesign";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-03-24";"2021-04-26";"/Notice/Details/2021-342389";"73220000";"Bufdir har av Kulturdepartementet fått i oppdrag å øke kommunenes bruk av FN- konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne. Målet er økt gjennomføring av CRPD i norske kommuner.
Bufdir ønsker hjelp til å utarbeide gode og kreative virkemidler som kan skape oppmerksomhet og synliggjøre nytten og betydningen av konvensjonen hos målgruppene og i samfunnet for øvrig, og hvilke plattformer og kanaler det kan være hensiktsmessig å bruke.
Bufdir ønsker også å jobbe videre med konsepter og tiltak som Bufdir har laget og foreslått i 2020. Dette gjelder blant annet grunnpresentasjon, sjekkliste og håndbok. Men Bufdir ønsker også å vurdere behovet for e- læring og CRPD sertifisering av kommuner med et CRPD stempel. Se vedlagte behovsbeskrivelse.
";"3200000";"12";"2021";"33"
"2021-397734";"Rammeavtale for konsulenttjenester knyttet til LEAN, tjenestedesign og prosjektledelse";"Lillestrøm Kommune ";"Kunngjøring av konkurranse";"2021-03-24";"2021-04-26";"/Notice/Details/2021-397734";"79000000";"Lillestrøm kommune ønsker å styrke vår kapasitet og vår kompetanse innenfor områdene prosjektledelse, Lean og tjenestedesign, og søker derfor en partner som kan bistå oss i dette arbeidet både strategisk og i konkrete forbedringsprosjekter og tiltak.";"12500000";"12";"2021";"33"
"2021-349742";"Kunnskapsoversikt om standpunktvurdering";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2021-03-23";"2021-04-26";"/Notice/Details/2021-349742";"73110000";"Som en oppfølging av Udirs svar på oppdragsbrev 3-17 fra KD om status på standpunktvurdering og eksamen, arbeidet til en nedsatt eksamensgruppe og øvrig arbeid med fagfornyelsen, vil Udir igangsette et arbeid for å styrke kvaliteten på standpunktvurdering. Arbeidet er i oppstart- og planleggingsfase.
Vi ønsker med dette oppdraget å utarbeide en kunnskapsoversikt[1] om tidligere og pågående nordisk forskning om vurderingspraksis på trinn med karakterer (8.-10. trinn, Vg1, Vg2 og Vg3), da med spesielt vekt på standpunktvurdering. Kunnskapsoversikten vil inngå sammen med annet kunnskapsgrunnlag som en del av grunnlaget for planleggingen av et mer langsiktig og systematisk arbeid for å styrke kvalitet på standpunktvurdering.
";NA;"12";"2021";"34"
"2021-353568";"Pilotundersøkelse i innvandrerbefolkningen";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-03-22";"2021-04-30";"/Notice/Details/2021-353568";"73000000";"Gjennomføring av pilotundersøkelse i innvandrerbefolkningen rundt temaene tillit, tilhørighet, deltakelse og diskriminering";"2000000";"12";"2021";"39"
"2021-338441";"Kostnadsanalyser av regelverksendringer på plan- og bygningsområdet";"Direktoratet for byggkvalitet ";"Kunngjøring av konkurranse";"2021-03-22";"2021-04-23";"/Notice/Details/2021-338441";"73210000";"Direktoratet for byggkvalitet (DiBK) arbeider med å analysere hvordan regelverksendringer på plan- og bygningsområdet påvirker byggekostnadene.
Bakgrunnen for arbeidet er oppdrag fra Kommunal- og moderniseringsdepartementet. Utgangspunktet for bestillingen var regjeringserklæringen (Jeløya-plattformen) hvor det blant annet står: Regjeringen vil at boliger, infrastruktur og næringsområder skal kunne bygges raskere og rimeligere. Ett av tiltakene regjeringen vil gjennomføre er å gjennomgå kostnadsvirkningene av regelendringer på plan- og bygningsområdet hvert fjerde år.
";"4200000";"12";"2021";"32"
"2021-380974";"Smarte vegger";"STATSBYGG ";"Kunngjøring av konkurranse";"2021-03-21";"2021-05-03";"/Notice/Details/2021-380974";"73000000";"Som en del av Prosjekt nytt regjeringskvartal ønsker Statsbygg å utvikle et industrialisert system for innervegger i tre, som kan ivareta samme krav og ytelser som plassbygde vegger, samt effektivisere prosjektering, bestilling og gjennomføring på byggeplass. Det vil være behov for å ivareta alle aspekter relatert til innervegger, dette er f.eks. lydkrav, brannkrav, skjulte tekniske installasjoner og gjennomføringer i vegger. Det er et ønske at den industrialiserte løsningen fremstår som et komplett og forutsigbart system, med mulighet til å håndtere ulike grensesnitt mot andre bygningsdeler som en del av det prefabrikkerte byggekonseptet. Videre er det også et ønske at løsningen kan anvendes på tvers av bygningstypologier og bygningsforvaltere, med potensiale for gjenbruk.";NA;"12";"2021";"43"
"2021-317776";"Utredning av behov for videreutdanning for flerspråklige lærere";"Kompetanse Norge ";"Kunngjøring av konkurranse";"2021-03-19";"2021-04-23";"/Notice/Details/2021-317776";"73000000";"Som en del av arbeidet med implementering av integreringsreformen, herunder ny lov om integrering gjennom opplæring, utdanning og arbeid (integreringsloven) og implementering av reviderte læreplaner i norsk og samfunnskunnskap, ønsker Kompetanse Norge å få utredet behovet for en videreutdanning for flerspråklige lærere som underviser i samfunnskunnskap og standardiserte elementer i introduksjonsprogrammet. Oppdraget har en fast, ikke regulerbar pris på kr 800 000 ekskl mva. for arbeidet definert av oppdragsgiver og leverandør i signert avtale med bilag. For en nærmere beskrivelse av oppdraget se Bilag 1 Oppdragsgivers beskrivelse av oppdraget.";"800000";"12";"2021";"35"
"2021-307099";"Nyankomne flyktningers digitale hverdag";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-03-19";"2021-04-23";"/Notice/Details/2021-307099";"73000000";"En undersøkelse av hvordan nyankomne flytninger orienterer seg via digitale medier, hvilket ferdighetsnivå de har, og hvilke kanaler de bruker.";"1000000";"12";"2021";"35"
"2021-356700";"Eksempelkatalog: vern av biologisk mangfold i nordiske havvindprosjekter";"Nordisk Energiforskning ";"Kunngjøring av konkurranse";"2021-03-19";"2021-04-19";"/Notice/Details/2021-356700";"73200000";"Prosjektet har som målsetning å forbedre og utbrede kunnskap om sameksistens mellom havvind og biologisk mangfold, med sikte på å øke andelen av fornybar energi i det nordiske energisystem.";"470000";"12";"2021";"31"
"2021-383792";"Registrering av veidata på kommunalt veinett";"Asker kommune ";"Kunngjøring av konkurranse";"2021-03-19";"2021-04-19";"/Notice/Details/2021-383792";"71350000";"Kontraktens sentrale område er registrering av veidata på hele det kommunale veinettet inkludert innlasting til Nasjonal vegdatabank (NVDB). Formålet er å danne grunnlag for kommunens forvaltning av veinettet og de tilhørende veiobjekter.
For nærmere omtale av anskaffelsens formål og omfang/ytelsen i hovedtrekk - se Konkurransegrunnlagets del II Bilag 1 - kravspesifkasjon
";"2400000";"12";"2021";"31"
"2021-327973";"Evaluering av Medfinansieringsordningen for digitaliseringsprosjekter i statlige virksomheter";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-03-18";"2021-04-13";"/Notice/Details/2021-327973";"73000000";"Kommunal- og moderniseringsdepartementet (KMD) ønsker å få gjennomført en uavhengig evaluering av Medfinansieringsordningen for digitaliseringsprosjekter i statlige virksomheter.
Kommunal- og moderniseringsdepartementet ønsker en utredning som kan gi kunnskap om hvordan Medfinansieringsordningen for digitaliseringsprosjekter i statlige virksomheter fungerer og innspill til hvordan ordningen kan forbedres slik at den gir enda større verdi. Dette inkluderer også måten ordningen forvaltes på.
Forvaltningen av ordningen er lagt til Digitaliseringsdirektoratet.
Oppdraget har en øvre økonomisk ramme på 800 000,- eks. mva. Oppdraget skal leveres i form av en rapport, som skal foreligge senest 17. november 2021.
";"800000";"11";"2021";"26"
